0                                                                                                   ,500                                                                                                 ,Some Name                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Goblin Association                                                                                  ,Some Type                                                                                           ,Some SubType                                                                                        ,Anywhere                                                                                                                                                                                                ,Isengard                                                                                            ,Rohan                                                                                               ,Middle Earth                                                                                        ,18-DEC-16 12.00.00.000000 AM                                               ,24-DEC-16 06.00.00.000000 PM
1                                                                                                   ,579                                                                                                 ,Some Name                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Demon Fire Club                                                                                     ,Some Type                                                                                           ,Some SubType                                                                                        ,At the gate                                                                                                                                                                                             ,Edhellond                                                                                           ,Gondor                                                                                              ,Middle Earth                                                                                        ,24-NOV-16 08.00.00.000000 PM                                               ,30-NOV-16 05.00.00.000000 PM
2                                                                                                   ,123                                                                                                 ,Some Name                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,The Fellowship of the Ring                                                                          ,Some Type                                                                                           ,Some SubType                                                                                        ,Anywhere                                                                                                                                                                                                ,Edoras                                                                                              ,Rohan                                                                                               ,Middle Earth                                                                                        ,14-SEP-16 01.00.00.000000 PM                                               ,20-SEP-16 02.00.00.000000 PM
3                                                                                                   ,79                                                                                                  ,Some Name                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,The Fellowship of the Ring                                                                          ,Some Type                                                                                           ,Some SubType                                                                                        ,On top of the tower                                                                                                                                                                                     ,Caras Galadhon                                                                                      ,Lothlorien                                                                                          ,Middle Earth                                                                                        ,15-OCT-16 08.00.00.000000 PM                                               ,20-OCT-16 04.00.00.000000 AM
4                                                                                                   ,1                                                                                                   ,Some Name                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Orc Breeding Program                                                                                ,Some Type                                                                                           ,Some SubType                                                                                        ,At the gate                                                                                                                                                                                             ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,01-NOV-16 08.00.00.000000 PM                                               ,05-NOV-16 07.00.00.000000 PM
5                                                                                                   ,314                                                                                                 ,Some Name                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Orc Breeding Program                                                                                ,Some Type                                                                                           ,Some SubType                                                                                        ,River bank                                                                                                                                                                                              ,Bywater                                                                                             ,The Shire                                                                                           ,Middle Earth                                                                                        ,30-OCT-16 11.00.00.000000 PM                                               ,02-NOV-16 05.00.00.000000 PM
6                                                                                                   ,754                                                                                                 ,Some Name                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,The Fellowship of the Ring                                                                          ,Some Type                                                                                           ,Some SubType                                                                                        ,On top of the tower                                                                                                                                                                                     ,Budgeford                                                                                           ,The Shire                                                                                           ,Middle Earth                                                                                        ,13-DEC-16 01.00.00.000000 AM                                               ,14-DEC-16 10.00.00.000000 PM
7                                                                                                   ,457                                                                                                 ,Some Name                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Goblin Association                                                                                  ,Some Type                                                                                           ,Some SubType                                                                                        ,On top of the tower                                                                                                                                                                                     ,Linhir                                                                                              ,Gondor                                                                                              ,Middle Earth                                                                                        ,28-OCT-16 02.00.00.000000 PM                                               ,30-OCT-16 08.00.00.000000 PM
